               Time | Epoch | Learning rate | Train loss | Validation loss | MAE_energy_0 | MAE_energy_0_grad | GPU Memory (MB)
2022-05-31 12:42:26 |    54 |     1.000e-04 |     1.1046 |          1.4117 |       3.1388 |            0.7831 |            2967
2022-05-31 12:45:44 |    55 |     1.000e-04 |     1.1073 |          1.0996 |       1.5817 |            0.7840 |            2967
2022-05-31 12:49:03 |    56 |     1.000e-04 |     1.1091 |          1.1193 |       1.6356 |            0.7943 |            2967
2022-05-31 12:52:27 |    57 |     1.000e-04 |     1.0995 |          1.0842 |       1.5597 |            0.7744 |            2967
2022-05-31 12:55:52 |    58 |     1.000e-04 |     1.0900 |          1.1492 |       1.8131 |            0.7881 |            2967
2022-05-31 12:59:15 |    59 |     1.000e-04 |     1.0861 |          1.2501 |       2.3810 |            0.7734 |            2967
2022-05-31 13:02:35 |    60 |     1.000e-04 |     1.0973 |          1.1317 |       1.6872 |            0.7956 |            2967
2022-05-31 13:05:54 |    61 |     1.000e-04 |     1.0720 |          1.0625 |       1.5063 |            0.7630 |            2967
2022-05-31 13:09:12 |    62 |     1.000e-04 |     1.0837 |          1.1168 |       1.7304 |            0.7714 |            2967
2022-05-31 13:12:30 |    63 |     1.000e-04 |     1.0715 |          1.0624 |       1.4739 |            0.7702 |            2967
2022-05-31 13:15:47 |    64 |     1.000e-04 |     1.0680 |          1.4632 |       3.4041 |            0.7819 |            2967
2022-05-31 13:19:09 |    65 |     1.000e-04 |     1.0727 |          1.2537 |       2.3528 |            0.7839 |            2967
2022-05-31 13:22:26 |    66 |     1.000e-04 |     1.0729 |          1.1232 |       1.7418 |            0.7757 |            2967
2022-05-31 13:25:44 |    67 |     1.000e-04 |     1.0650 |          1.1117 |       1.7080 |            0.7722 |            2967
2022-05-31 13:29:02 |    68 |     1.000e-04 |     1.0569 |          1.0697 |       1.6141 |            0.7482 |            2967
2022-05-31 13:32:20 |    69 |     1.000e-04 |     1.0595 |          1.1088 |       1.9222 |            0.7257 |            2967
2022-05-31 13:35:40 |    70 |     1.000e-04 |     1.0581 |          1.2763 |       2.5469 |            0.7649 |            2967
2022-05-31 13:39:00 |    71 |     1.000e-04 |     1.0514 |          1.1079 |       1.7423 |            0.7610 |            2967
2022-05-31 13:42:18 |    72 |     1.000e-04 |     1.0620 |          1.0878 |       1.6535 |            0.7589 |            2967
2022-05-31 13:45:35 |    73 |     1.000e-04 |     1.0482 |          1.0718 |       1.6378 |            0.7460 |            2967
2022-05-31 13:48:55 |    74 |     1.000e-04 |     1.0562 |          1.0917 |       1.7230 |            0.7480 |            2967
2022-05-31 13:52:14 |    75 |     1.000e-04 |     1.0403 |          1.1086 |       1.7281 |            0.7627 |            2967
2022-05-31 13:55:33 |    76 |     1.000e-04 |     1.0361 |          1.1583 |       2.0492 |            0.7494 |            2967
2022-05-31 13:58:53 |    77 |     1.000e-04 |     1.0320 |          1.2374 |       2.4713 |            0.7453 |            2967
2022-05-31 14:02:11 |    78 |     1.000e-04 |     1.0348 |          1.1582 |       1.9792 |            0.7617 |            2967
2022-05-31 14:05:34 |    79 |     1.000e-04 |     1.0347 |          1.1041 |       1.8271 |            0.7404 |            2967
2022-05-31 14:08:53 |    80 |     1.000e-04 |     1.0176 |          1.0509 |       1.6104 |            0.7302 |            2967
2022-05-31 14:12:15 |    81 |     1.000e-04 |     1.0261 |          1.2663 |       2.5986 |            0.7456 |            2967
2022-05-31 14:15:35 |    82 |     1.000e-04 |     1.0186 |          1.0520 |       1.4984 |            0.7544 |            2967
2022-05-31 14:18:53 |    83 |     1.000e-04 |     1.0278 |          1.1032 |       1.7137 |            0.7623 |            2967
2022-05-31 14:22:11 |    84 |     1.000e-04 |     1.0254 |          1.0798 |       1.6357 |            0.7542 |            2967
2022-05-31 14:25:28 |    85 |     1.000e-04 |     1.0107 |          1.0865 |       1.7376 |            0.7409 |            2967
2022-05-31 14:28:46 |    86 |     1.000e-04 |     1.0154 |          1.0902 |       1.6381 |            0.7645 |            2967
2022-05-31 14:32:04 |    87 |     1.000e-04 |     1.0102 |          1.1091 |       1.7876 |            0.7524 |            2967
2022-05-31 14:35:21 |    88 |     1.000e-04 |     1.0048 |          1.1080 |       1.6669 |            0.7748 |            2967
2022-05-31 14:38:39 |    89 |     1.000e-04 |     1.0040 |          1.0503 |       1.5688 |            0.7379 |            2967
2022-05-31 14:41:58 |    90 |     1.000e-04 |     1.0047 |          1.0238 |       1.4684 |            0.7331 |            2967
2022-05-31 14:45:17 |    91 |     1.000e-04 |     1.0111 |          1.0399 |       1.4594 |            0.7486 |            2967
2022-05-31 14:48:38 |    92 |     1.000e-04 |     1.0021 |          1.0003 |       1.3670 |            0.7293 |            2967
2022-05-31 14:51:56 |    93 |     1.000e-04 |     1.0033 |          1.0657 |       1.6984 |            0.7290 |            2967
2022-05-31 14:55:14 |    94 |     1.000e-04 |     0.9959 |          0.9914 |       1.3161 |            0.7300 |            2967
2022-05-31 14:58:32 |    95 |     1.000e-04 |     0.9888 |          1.0155 |       1.5214 |            0.7121 |            2967
2022-05-31 15:01:51 |    96 |     1.000e-04 |     0.9932 |          1.3536 |       2.9722 |            0.7577 |            2967
2022-05-31 15:05:11 |    97 |     1.000e-04 |     0.9960 |          1.0697 |       1.6336 |            0.7444 |            2967
2022-05-31 15:08:32 |    98 |     1.000e-04 |     0.9859 |          1.0335 |       1.4807 |            0.7386 |            2967
2022-05-31 15:11:58 |    99 |     1.000e-04 |     0.9960 |          1.0988 |       1.7729 |            0.7458 |            2967
2022-05-31 15:15:19 |   100 |     1.000e-04 |     0.9960 |          1.1422 |       1.9683 |            0.7486 |            2967
2022-05-31 15:18:39 |   101 |     1.000e-04 |     0.9875 |          1.0551 |       1.6758 |            0.7200 |            2967
2022-05-31 15:22:01 |   102 |     1.000e-04 |     0.9822 |          1.0377 |       1.6182 |            0.7160 |            2967
2022-05-31 15:25:23 |   103 |     1.000e-04 |     0.9762 |          1.0677 |       1.6298 |            0.7445 |            2967
2022-05-31 15:28:41 |   104 |     1.000e-04 |     0.9838 |          1.0873 |       1.8483 |            0.7192 |            2967
2022-05-31 15:31:59 |   105 |     1.000e-04 |     0.9704 |          1.0262 |       1.5520 |            0.7201 |            2967
2022-05-31 15:35:17 |   106 |     1.000e-04 |     0.9713 |          1.2069 |       2.4217 |            0.7203 |            2967
2022-05-31 15:38:35 |   107 |     1.000e-04 |     0.9808 |          1.0925 |       1.8399 |            0.7254 |            2967
2022-05-31 15:41:52 |   108 |     1.000e-04 |     0.9759 |          1.0747 |       1.7540 |            0.7258 |            2967
2022-05-31 15:45:12 |   109 |     1.000e-04 |     0.9741 |          1.1968 |       2.3812 |            0.7193 |            2967
2022-05-31 15:48:29 |   110 |     1.000e-04 |     0.9700 |          1.2050 |       2.4174 |            0.7218 |            2967
2022-05-31 15:51:48 |   111 |     1.000e-04 |     0.9674 |          1.0709 |       1.6835 |            0.7355 |            2967
2022-05-31 15:55:06 |   112 |     1.000e-04 |     0.9565 |          1.0361 |       1.5418 |            0.7293 |            2967
2022-05-31 15:58:23 |   113 |     1.000e-04 |     0.9663 |          1.0159 |       1.4043 |            0.7377 |            2967
2022-05-31 16:01:41 |   114 |     1.000e-04 |     0.9610 |          1.0501 |       1.7892 |            0.6938 |            2967
2022-05-31 16:04:59 |   115 |     1.000e-04 |     0.9538 |          1.0055 |       1.4484 |            0.7178 |            2967
2022-05-31 16:08:16 |   116 |     1.000e-04 |     0.9575 |          1.0120 |       1.5198 |            0.7099 |            2967
2022-05-31 16:11:33 |   117 |     1.000e-04 |     0.9562 |          0.9759 |       1.3975 |            0.6983 |            2967
2022-05-31 16:14:51 |   118 |     1.000e-04 |     0.9545 |          1.0704 |       1.7861 |            0.7145 |            2967
2022-05-31 16:18:09 |   119 |     1.000e-04 |     0.9569 |          0.9563 |       1.2677 |            0.7055 |            2967
2022-05-31 16:21:28 |   120 |     1.000e-04 |     0.9525 |          1.0131 |       1.3873 |            0.7373 |            2967
2022-05-31 16:24:48 |   121 |     1.000e-04 |     0.9584 |          1.0472 |       1.7063 |            0.7085 |            2967
2022-05-31 16:28:07 |   122 |     1.000e-04 |     0.9501 |          0.9870 |       1.5384 |            0.6805 |            2967
2022-05-31 16:31:24 |   123 |     1.000e-04 |     0.9614 |          1.0154 |       1.4840 |            0.7210 |            2967
2022-05-31 16:34:46 |   124 |     1.000e-04 |     0.9433 |          1.0412 |       1.6278 |            0.7180 |            2967
2022-05-31 16:38:04 |   125 |     1.000e-04 |     0.9430 |          1.0214 |       1.4440 |            0.7342 |            2967
2022-05-31 16:41:22 |   126 |     1.000e-04 |     0.9479 |          1.0452 |       1.6468 |            0.7166 |            2967
2022-05-31 16:44:40 |   127 |     1.000e-04 |     0.9475 |          1.1324 |       2.0293 |            0.7290 |            2967
2022-05-31 16:47:59 |   128 |     1.000e-04 |     0.9475 |          0.9685 |       1.4423 |            0.6817 |            2967
2022-05-31 16:51:17 |   129 |     1.000e-04 |     0.9426 |          1.0056 |       1.5981 |            0.6881 |            2967
2022-05-31 16:54:40 |   130 |     1.000e-04 |     0.9371 |          1.1982 |       2.4193 |            0.7138 |            2967
2022-05-31 16:57:58 |   131 |     1.000e-04 |     0.9381 |          1.0252 |       1.5898 |            0.7098 |            2967
2022-05-31 17:01:16 |   132 |     1.000e-04 |     0.9363 |          1.0442 |       1.6570 |            0.7152 |            2967
2022-05-31 17:04:35 |   133 |     1.000e-04 |     0.9352 |          0.9965 |       1.5683 |            0.6848 |            2967
2022-05-31 17:07:54 |   134 |     1.000e-04 |     0.9334 |          1.0515 |       1.7549 |            0.7025 |            2967
2022-05-31 17:11:15 |   135 |     1.000e-04 |     0.9255 |          1.0287 |       1.7003 |            0.6907 |            2967
2022-05-31 17:14:39 |   136 |     1.000e-04 |     0.9386 |          0.9876 |       1.5161 |            0.6873 |            2967
2022-05-31 17:18:03 |   137 |     1.000e-04 |     0.9268 |          0.9919 |       1.4784 |            0.6981 |            2967
2022-05-31 17:21:23 |   138 |     1.000e-04 |     0.9206 |          0.9497 |       1.2325 |            0.7047 |            2967
2022-05-31 17:24:45 |   139 |     1.000e-04 |     0.9260 |          1.0028 |       1.5155 |            0.7017 |            2967
2022-05-31 17:28:09 |   140 |     1.000e-04 |     0.9210 |          1.0903 |       2.0151 |            0.6890 |            2967
2022-05-31 17:31:38 |   141 |     1.000e-04 |     0.9257 |          1.0513 |       1.7206 |            0.7079 |            2967
2022-05-31 17:34:58 |   142 |     1.000e-04 |     0.9273 |          1.1132 |       1.9212 |            0.7311 |            2967
2022-05-31 17:38:21 |   143 |     1.000e-04 |     0.9242 |          0.9912 |       1.5077 |            0.6902 |            2967
2022-05-31 17:41:46 |   144 |     1.000e-04 |     0.9257 |          1.0103 |       1.6703 |            0.6780 |            2967
2022-05-31 17:45:06 |   145 |     1.000e-04 |     0.9153 |          0.9667 |       1.4310 |            0.6831 |            2967
2022-05-31 17:48:25 |   146 |     1.000e-04 |     0.9160 |          0.9652 |       1.4235 |            0.6836 |            2967
2022-05-31 17:51:43 |   147 |     1.000e-04 |     0.9173 |          1.0130 |       1.5655 |            0.7003 |            2967
2022-05-31 17:55:01 |   148 |     1.000e-04 |     0.9160 |          1.0240 |       1.6076 |            0.7038 |            2967
2022-05-31 17:58:20 |   149 |     1.000e-04 |     0.9049 |          1.1134 |       2.1565 |            0.6816 |            2967
2022-05-31 18:01:37 |   150 |     1.000e-04 |     0.9132 |          0.9926 |       1.5149 |            0.6924 |            2967
