               Time | Epoch | Learning rate | Train loss | Validation loss | MAE_energy_0 | MAE_energy_0_grad | GPU Memory (MB)
2022-06-20 14:49:34 |    54 |     1.000e-04 |     1.0945 |          1.1317 |       2.1477 |            0.7048 |            3149
2022-06-20 14:53:10 |    55 |     1.000e-04 |     1.0891 |          1.1009 |       2.0360 |            0.6969 |            3149
2022-06-20 14:56:48 |    56 |     1.000e-04 |     1.0839 |          1.0545 |       1.8589 |            0.6862 |            3149
2022-06-20 15:00:26 |    57 |     1.000e-04 |     1.0831 |          1.1095 |       2.0767 |            0.6967 |            3149
2022-06-20 15:04:03 |    58 |     1.000e-04 |     1.0824 |          1.0748 |       2.0164 |            0.6745 |            3149
2022-06-20 15:07:40 |    59 |     1.000e-04 |     1.0782 |          1.1173 |       2.0233 |            0.7145 |            3149
2022-06-20 15:11:15 |    60 |     1.000e-04 |     1.0704 |          1.0672 |       1.9285 |            0.6835 |            3149
2022-06-20 15:14:52 |    61 |     1.000e-04 |     1.0664 |          1.0422 |       1.8272 |            0.6791 |            3149
2022-06-20 15:18:28 |    62 |     1.000e-04 |     1.0656 |          1.1801 |       2.4734 |            0.6865 |            3149
2022-06-20 15:22:04 |    63 |     1.000e-04 |     1.0593 |          1.0902 |       2.0759 |            0.6773 |            3149
2022-06-20 15:25:40 |    64 |     1.000e-04 |     1.0628 |          1.0727 |       1.9284 |            0.6881 |            3149
2022-06-20 15:29:16 |    65 |     1.000e-04 |     1.0486 |          1.0117 |       1.7040 |            0.6737 |            3149
2022-06-20 15:32:53 |    66 |     1.000e-04 |     1.0471 |          1.0418 |       1.8673 |            0.6714 |            3149
2022-06-20 15:36:28 |    67 |     1.000e-04 |     1.0508 |          1.0908 |       1.9620 |            0.7011 |            3149
2022-06-20 15:40:04 |    68 |     1.000e-04 |     1.0455 |          1.0591 |       1.9372 |            0.6753 |            3149
2022-06-20 15:43:40 |    69 |     1.000e-04 |     1.0473 |          1.0223 |       1.7711 |            0.6712 |            3149
2022-06-20 15:47:17 |    70 |     1.000e-04 |     1.0417 |          1.0374 |       1.8106 |            0.6780 |            3149
