               Time | Epoch | Learning rate | Train loss | Validation loss | MAE_energy_0 | MAE_energy_0_grad | GPU Memory (MB)
2022-06-20 13:37:41 |    54 |     1.000e-04 |     1.0211 |          1.1689 |       1.1071 |            0.9468 |            3144
2022-06-20 13:40:36 |    55 |     1.000e-04 |     1.0175 |          1.1196 |       0.8997 |            0.9392 |            3144
2022-06-20 13:43:30 |    56 |     1.000e-04 |     1.0102 |          1.1328 |       1.0151 |            0.9297 |            3144
2022-06-20 13:46:26 |    57 |     1.000e-04 |     1.0015 |          1.1298 |       0.9551 |            0.9381 |            3144
2022-06-20 13:49:20 |    58 |     1.000e-04 |     1.0079 |          1.1293 |       1.0073 |            0.9267 |            3144
2022-06-20 13:52:14 |    59 |     1.000e-04 |     0.9912 |          1.1829 |       1.2009 |            0.9408 |            3144
2022-06-20 13:55:07 |    60 |     1.000e-04 |     0.9934 |          1.1575 |       0.9988 |            0.9580 |            3144
2022-06-20 13:57:59 |    61 |     1.000e-04 |     0.9812 |          1.1642 |       1.1870 |            0.9258 |            3144
2022-06-20 14:00:52 |    62 |     1.000e-04 |     0.9848 |          1.1880 |       1.3482 |            0.9158 |            3144
2022-06-20 14:03:45 |    63 |     1.000e-04 |     0.9798 |          1.1570 |       1.1242 |            0.9306 |            3144
2022-06-20 14:06:39 |    64 |     1.000e-04 |     0.9711 |          1.1329 |       1.1799 |            0.8956 |            3144
2022-06-20 14:09:33 |    65 |     1.000e-04 |     0.9671 |          1.1523 |       1.2112 |            0.9089 |            3144
2022-06-20 14:12:27 |    66 |     1.000e-04 |     0.9658 |          1.1321 |       1.0531 |            0.9207 |            3144
2022-06-20 14:15:20 |    67 |     1.000e-04 |     0.9658 |          1.1273 |       1.1004 |            0.9058 |            3144
2022-06-20 14:18:14 |    68 |     1.000e-04 |     0.9613 |          1.1430 |       1.1390 |            0.9142 |            3144
2022-06-20 14:21:07 |    69 |     1.000e-04 |     0.9566 |          1.1175 |       1.0279 |            0.9113 |            3144
2022-06-20 14:24:02 |    70 |     1.000e-04 |     0.9454 |          1.0710 |       0.8596 |            0.8985 |            3144
2022-06-20 14:26:56 |    71 |     1.000e-04 |     0.9476 |          1.2142 |       1.4077 |            0.9299 |            3144
2022-06-20 14:29:50 |    72 |     1.000e-04 |     0.9466 |          1.1392 |       1.1744 |            0.9031 |            3144
2022-06-20 14:32:44 |    73 |     1.000e-04 |     0.9403 |          1.1233 |       1.1687 |            0.8881 |            3144
2022-06-20 14:35:39 |    74 |     1.000e-04 |     0.9395 |          1.1389 |       1.1513 |            0.9078 |            3144
2022-06-20 14:38:32 |    75 |     1.000e-04 |     0.9366 |          1.0953 |       1.0109 |            0.8923 |            3144
2022-06-20 14:41:26 |    76 |     1.000e-04 |     0.9272 |          1.1162 |       1.1447 |            0.8856 |            3144
2022-06-20 14:44:19 |    77 |     1.000e-04 |     0.9275 |          1.0820 |       1.0015 |            0.8802 |            3144
2022-06-20 14:47:12 |    78 |     1.000e-04 |     0.9222 |          1.0573 |       0.9319 |            0.8706 |            3144
2022-06-20 14:50:06 |    79 |     1.000e-04 |     0.9197 |          1.1278 |       1.2134 |            0.8830 |            3144
2022-06-20 14:52:58 |    80 |     1.000e-04 |     0.9145 |          1.0732 |       0.9321 |            0.8874 |            3144
2022-06-20 14:55:54 |    81 |     1.000e-04 |     0.9114 |          1.1006 |       1.1681 |            0.8661 |            3144
2022-06-20 14:58:49 |    82 |     1.000e-04 |     0.9047 |          1.1317 |       1.2004 |            0.8899 |            3144
2022-06-20 15:01:44 |    83 |     1.000e-04 |     0.9063 |          1.0921 |       1.0169 |            0.8876 |            3144
2022-06-20 15:04:38 |    84 |     1.000e-04 |     0.9143 |          1.1523 |       1.4506 |            0.8597 |            3144
2022-06-20 15:07:32 |    85 |     1.000e-04 |     0.8977 |          1.0894 |       1.0967 |            0.8686 |            3144
2022-06-20 15:10:26 |    86 |     1.000e-04 |     0.8963 |          1.1023 |       1.2055 |            0.8594 |            3144
2022-06-20 15:13:20 |    87 |     1.000e-04 |     0.9043 |          1.0789 |       1.0797 |            0.8620 |            3144
2022-06-20 15:16:15 |    88 |     1.000e-04 |     0.8910 |          1.0820 |       1.0273 |            0.8752 |            3144
2022-06-20 15:19:08 |    89 |     1.000e-04 |     0.9014 |          1.0708 |       1.0653 |            0.8560 |            3144
2022-06-20 15:22:03 |    90 |     1.000e-04 |     0.8853 |          1.0439 |       0.9888 |            0.8453 |            3144
2022-06-20 15:24:55 |    91 |     1.000e-04 |     0.8856 |          1.0575 |       1.0275 |            0.8513 |            3144
2022-06-20 15:27:48 |    92 |     1.000e-04 |     0.8814 |          1.2547 |       1.9406 |            0.8642 |            3144
2022-06-20 15:30:42 |    93 |     1.000e-04 |     0.8753 |          1.1153 |       1.2494 |            0.8638 |            3144
2022-06-20 15:33:35 |    94 |     1.000e-04 |     0.8720 |          1.0782 |       1.0252 |            0.8717 |            3144
2022-06-20 15:36:29 |    95 |     1.000e-04 |     0.8769 |          1.0410 |       1.0520 |            0.8302 |            3144
2022-06-20 15:39:22 |    96 |     1.000e-04 |     0.8762 |          1.0848 |       1.1806 |            0.8476 |            3144
2022-06-20 15:42:16 |    97 |     1.000e-04 |     0.8700 |          1.0685 |       1.0987 |            0.8465 |            3144
2022-06-20 15:45:10 |    98 |     1.000e-04 |     0.8675 |          1.0642 |       1.0782 |            0.8475 |            3144
2022-06-20 15:48:03 |    99 |     1.000e-04 |     0.8634 |          1.0865 |       1.1573 |            0.8537 |            3144
