               Time | Epoch | Learning rate | Train loss | Validation loss | MAE_energy_1_energy_0_delta | MAE_energy_0 | MAE_energy_1 | MAE_energy_0_grad | MAE_energy_1_grad | GPU Memory (MB)
               Time | Epoch | Learning rate | Train loss | Validation loss | MAE_energy_1_energy_0_delta | MAE_energy_0 | MAE_energy_1 | GPU Memory (MB)
2022-06-20 16:11:39 |    45 |     1.000e-04 |     1.2084 |          1.5014 |                      1.2748 |       2.2047 |       2.0536 |            1589
2022-06-20 16:13:38 |    46 |     1.000e-04 |     1.1873 |          1.4421 |                      1.2191 |       2.0644 |       2.0347 |            1589
2022-06-20 16:15:37 |    47 |     1.000e-04 |     1.1848 |          1.4332 |                      1.2179 |       1.9901 |       1.8866 |            1589
2022-06-20 16:17:36 |    48 |     1.000e-04 |     1.1871 |          1.3696 |                      1.1502 |       2.1063 |       1.9798 |            1589
2022-06-20 16:19:35 |    49 |     1.000e-04 |     1.1704 |          1.3232 |                      1.0865 |       2.3234 |       2.1713 |            1589
2022-06-20 16:21:34 |    50 |     1.000e-04 |     1.1537 |          1.3941 |                      1.1562 |       2.3104 |       2.1334 |            1589
2022-06-20 16:23:33 |    51 |     1.000e-04 |     1.1324 |          1.3356 |                      1.1092 |       2.1286 |       1.9630 |            1589
2022-06-20 16:25:32 |    52 |     1.000e-04 |     1.1444 |          1.4009 |                      1.1733 |       2.0022 |       2.0046 |            1589
2022-06-20 16:27:31 |    53 |     1.000e-04 |     1.1440 |          1.4890 |                      1.2569 |       2.3448 |       1.9971 |            1589
2022-06-20 16:29:30 |    54 |     1.000e-04 |     1.1183 |          1.5112 |                      1.2985 |       2.0602 |       1.7779 |            1589
2022-06-20 16:31:28 |    55 |     1.000e-04 |     1.1234 |          1.2896 |                      1.0662 |       2.1274 |       2.1050 |            1589
2022-06-20 16:33:27 |    56 |     1.000e-04 |     1.0868 |          1.5709 |                      1.3530 |       1.9406 |       1.9227 |            1589
2022-06-20 16:35:25 |    57 |     1.000e-04 |     1.0978 |          1.3936 |                      1.1854 |       1.9058 |       1.9571 |            1589
2022-06-20 16:37:24 |    58 |     1.000e-04 |     1.0886 |          1.3548 |                      1.1105 |       2.2725 |       2.2364 |            1589
2022-06-20 16:39:23 |    59 |     1.000e-04 |     1.0766 |          1.2547 |                      1.0111 |       2.3018 |       2.2371 |            1589
2022-06-20 16:41:22 |    60 |     1.000e-04 |     1.0796 |          1.2789 |                      1.0663 |       1.9668 |       1.9579 |            1589
2022-06-20 16:43:21 |    61 |     1.000e-04 |     1.0837 |          1.3790 |                      1.1710 |       1.9766 |       1.8949 |            1589
2022-06-20 16:45:21 |    62 |     1.000e-04 |     1.0646 |          1.3355 |                      1.1288 |       1.9394 |       1.9271 |            1589
2022-06-20 16:47:22 |    63 |     1.000e-04 |     1.0555 |          1.2977 |                      1.0840 |       1.9585 |       1.9081 |            1589
2022-06-20 16:49:21 |    64 |     1.000e-04 |     1.0478 |          1.3994 |                      1.1367 |       2.4349 |       2.3764 |            1589
2022-06-20 16:51:19 |    65 |     1.000e-04 |     1.0481 |          1.2316 |                      1.0018 |       2.2267 |       2.1332 |            1589
2022-06-20 16:53:19 |    66 |     1.000e-04 |     1.0374 |          1.3069 |                      1.0873 |       1.9828 |       2.0266 |            1589
2022-06-20 16:55:18 |    67 |     1.000e-04 |     1.0261 |          1.2844 |                      1.0717 |       1.9776 |       1.9517 |            1589
2022-06-20 16:57:17 |    68 |     1.000e-04 |     1.0472 |          1.3029 |                      1.0861 |       2.0168 |       2.0141 |            1589
2022-06-20 16:59:15 |    69 |     1.000e-04 |     1.0270 |          1.3735 |                      1.1680 |       1.8855 |       2.0325 |            1589
2022-06-20 17:01:13 |    70 |     1.000e-04 |     1.0041 |          1.5245 |                      1.2773 |       2.1647 |       2.4872 |            1589
2022-06-20 17:03:12 |    71 |     1.000e-04 |     1.0166 |          1.2312 |                      1.0330 |       1.8214 |       1.9534 |            1589
2022-06-20 17:05:11 |    72 |     1.000e-04 |     0.9995 |          1.2730 |                      1.0904 |       1.6695 |       1.6465 |            1589
2022-06-20 17:07:10 |    73 |     1.000e-04 |     1.0033 |          1.2187 |                      1.0291 |       1.8292 |       1.8258 |            1589
2022-06-20 17:09:08 |    74 |     1.000e-04 |     0.9848 |          1.2194 |                      1.0369 |       1.7246 |       1.7114 |            1589
2022-06-20 17:11:07 |    75 |     1.000e-04 |     0.9897 |          1.2522 |                      1.0607 |       1.9025 |       1.7100 |            1589
