Time[ps]      Epot1 [eV]    T1 [K]
17.8600         -3.4195      312.7  
17.8800         -2.9041      264.2  
17.9000         -2.8388      267.4  
17.9200         -2.8785      283.0  
17.9400         -2.8049      287.4  
17.9600         -2.7234      291.2  
17.9800         -2.7728      310.6  
18.0000         -2.9574      345.5  
18.0200         -2.9109      354.1  
18.0400         -2.9322      375.2  
18.0600         -2.9311      400.3  
18.0800         -2.8576      417.3  
18.1000         -2.7455      421.8  
18.1200         -2.5728      405.2  
18.1400         -2.5718      397.4  
18.1600         -2.4666      368.7  
18.1800         -2.1856      316.6  
18.2000         -2.2916      306.8  
18.2200         -2.1032      262.9  
18.2400         -1.8708      217.5  
18.2600         -2.1835      236.5  
18.2800         -2.5056      257.3  
18.3000         -2.8635      281.2  
18.3200         -3.1862      300.5  
18.3400         -3.1477      278.6  
18.3600         -3.1358      261.3  
18.3800         -3.2823      263.2  
18.4000         -3.0276      222.0  
18.4200         -2.9337      202.0  
18.4400         -2.9912      202.1  
18.4600         -2.9093      188.9  
18.4800         -2.9495      191.8  
18.5000         -2.9238      189.9  
18.5200         -2.8471      184.5  
18.5400         -2.8931      195.7  
18.5600         -3.1665      236.3  
18.5800         -3.0262      232.2  
18.6000         -2.5360      188.7  
18.6200         -2.7147      223.8  
18.6400         -2.5083      218.4  
18.6600         -2.8399      279.7  
18.6800         -2.8294      305.7  
18.7000         -2.5484      301.7  
18.7200         -2.5337      327.2  
18.7400         -2.6462      369.5  
18.7600         -2.3116      357.5  
18.7800         -2.2271      370.0  
18.8000         -2.1962      386.0  
18.8200         -2.5134      437.9  
18.8400         -2.3924      430.7  
18.8600         -2.1836      405.3  
18.8800         -1.8914      363.3  
18.9000         -1.8750      350.0  
18.9200         -1.9715      346.6  
18.9400         -1.9474      326.6  
18.9600         -1.9712      312.9  
18.9800         -2.2611      326.4  
19.0000         -2.3149      311.4  
